run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
clean_persist_s2_k2,5,5,4,5,0,1,0.4444,0.8000,0.5714,80.0000,100.0000,[0, 1, 2, 3, 4]
clean_persist_s2_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
clean_persist_s2_k2,10,10,10,7,3,0,0.5882,1.0000,0.7407,100.0000,70.0000,[0, 3, 4, 5, 7, 8, 9]
clean_persist_s2_k2,10,10,10,7,3,0,0.5882,1.0000,0.7407,100.0000,70.0000,[0, 3, 4, 5, 7, 8, 9]
clean_persist_s2_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
clean_persist_s1_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
clean_persist_s2_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
clean_persist_s2_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
clean_persist_s2_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
clean_persist_s2_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
clean_persist_s10_k2,10,10,1,0,10,9,1.0000,0.1000,0.1818,10.0000,0.0000,[]
