time_seconds;ecg_value
0;-0.04500
3;0.16500
6;0.42000
8;0.72000
11;0.98000
14;1.14000
17;1.18000
19;1.02000
22;0.65000
25;0.13500
28;-0.27000
31;-0.45000
33;-0.42500
36;-0.36500
39;-0.31500
42;-0.31000
44;-0.32000
47;-0.34000
50;-0.34000
53;-0.34000
56;-0.34000
58;-0.34500
61;-0.35500
64;-0.37000
67;-0.36500
69;-0.36500
72;-0.36000
75;-0.35500
78;-0.35000
81;-0.35500
83;-0.35500
86;-0.35000
89;-0.34500
92;-0.34500
94;-0.35500
97;-0.35500
100;-0.36000
103;-0.36000
106;-0.35000
108;-0.36000
111;-0.36500
114;-0.37000
117;-0.37000
119;-0.35500
122;-0.34500
125;-0.35000
128;-0.36000
131;-0.37000
133;-0.37500
136;-0.37000
139;-0.35500
142;-0.35500
144;-0.36000
147;-0.36000
150;-0.37500
153;-0.37000
156;-0.35500
158;-0.35000
161;-0.36000
164;-0.36500
167;-0.36500
169;-0.37000
172;-0.34500
175;-0.35500
178;-0.35500
181;-0.37000
183;-0.37500
186;-0.36000
189;-0.35500
192;-0.35500
194;-0.36500
197;-0.37500
200;-0.38000
203;-0.36500
206;-0.35000
208;-0.35000
211;-0.36500
214;-0.37000
217;-0.38000
219;-0.37000
222;-0.36500
225;-0.35500
228;-0.36000
231;-0.36500
233;-0.37000
236;-0.36500
239;-0.36000
242;-0.36500
244;-0.36000
247;-0.37500
250;-0.37500
253;-0.37500
256;-0.36500
258;-0.36500
261;-0.37000
264;-0.38500
267;-0.39000
269;-0.38000
272;-0.37000
275;-0.38000
278;-0.38500
281;-0.39000
283;-0.40500
286;-0.38000
289;-0.37500
292;-0.37000
294;-0.37500
297;-0.37500
300;-0.36000
303;-0.34500
306;-0.32000
308;-0.31500
311;-0.30500
314;-0.30000
317;-0.29500
319;-0.27500
322;-0.26000
325;-0.25500
328;-0.25000
331;-0.26000
333;-0.26000
336;-0.24500
339;-0.23500
342;-0.23000
344;-0.24000
347;-0.25000
350;-0.25000
353;-0.23500
356;-0.23000
358;-0.23000
361;-0.25500
364;-0.26500
367;-0.25000
369;-0.24500
372;-0.23500
375;-0.24000
378;-0.24500
381;-0.26000
383;-0.25000
386;-0.24500
389;-0.24000
392;-0.24000
394;-0.24000
