run_id,NR_POS,NR_NEG,TP,FP,TN,FN,precision,recall,f1,PAR,NAR,FP_indices
noisy_persist_s2_k2,5,5,3,5,0,2,0.3750,0.6000,0.4615,60.0000,100.0000,[0, 1, 2, 3, 4]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s1_k2,10,10,10,10,0,0,0.5000,1.0000,0.6667,100.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s2_k2,10,10,9,10,0,1,0.4737,0.9000,0.6207,90.0000,100.0000,[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
noisy_persist_s10_k2,10,10,2,5,5,8,0.2857,0.2000,0.2353,20.0000,50.0000,[3, 4, 7, 8, 9]
