time_seconds;ecg_value
0;-0.31500
3;-0.31500
6;-0.31000
8;-0.32500
11;-0.32500
14;-0.31500
17;-0.30500
19;-0.31000
22;-0.32000
25;-0.31000
28;-0.32000
31;-0.32000
33;-0.31000
36;-0.30500
39;-0.31500
42;-0.31000
44;-0.33500
47;-0.31500
50;-0.31500
53;-0.30500
56;-0.31000
58;-0.31000
61;-0.32000
64;-0.32000
67;-0.31500
69;-0.31500
72;-0.31500
75;-0.31500
78;-0.33500
81;-0.31000
83;-0.31000
86;-0.30500
89;-0.30000
92;-0.32000
94;-0.31000
97;-0.30500
100;-0.30500
103;-0.29500
106;-0.29500
108;-0.30000
111;-0.31000
114;-0.31500
117;-0.29500
119;-0.28500
122;-0.27500
125;-0.26500
128;-0.27500
131;-0.25000
133;-0.24000
136;-0.22000
139;-0.22500
142;-0.23500
144;-0.22500
147;-0.22000
150;-0.20500
153;-0.18000
156;-0.18500
158;-0.20000
161;-0.22500
164;-0.21000
167;-0.21000
169;-0.21500
172;-0.21000
175;-0.21000
178;-0.22500
181;-0.22500
183;-0.22000
186;-0.21500
189;-0.19500
192;-0.19000
194;-0.21000
197;-0.23500
200;-0.25000
203;-0.26500
206;-0.26500
208;-0.27500
211;-0.30500
214;-0.31000
217;-0.31000
219;-0.31000
222;-0.32000
225;-0.32500
228;-0.34000
231;-0.32500
233;-0.34000
236;-0.32000
239;-0.31500
242;-0.32000
244;-0.34000
247;-0.34000
250;-0.33000
253;-0.33500
256;-0.32500
258;-0.35500
261;-0.35000
264;-0.35000
267;-0.33500
269;-0.32500
272;-0.34000
275;-0.35000
278;-0.36000
281;-0.35500
283;-0.35000
286;-0.35000
289;-0.37500
292;-0.41500
294;-0.46000
297;-0.49000
300;-0.51000
303;-0.53000
306;-0.55500
308;-0.51500
311;-0.38500
314;-0.21500
317;-0.04500
319;0.17000
322;0.41500
325;0.68500
328;0.90000
331;1.03000
333;1.07000
336;0.91500
339;0.54500
342;0.06500
344;-0.30000
347;-0.45500
350;-0.43500
353;-0.38500
356;-0.35500
358;-0.34500
361;-0.35500
364;-0.36000
367;-0.37000
369;-0.36000
372;-0.36500
375;-0.38000
378;-0.38500
381;-0.38000
383;-0.38500
386;-0.38500
389;-0.38500
392;-0.39500
