time_seconds;ecg_value
0;-0.25500
3;-0.25500
6;-0.26500
8;-0.25500
11;-0.26000
14;-0.28500
17;-0.28500
19;-0.30000
22;-0.29000
25;-0.28000
28;-0.27500
31;-0.28500
33;-0.29500
36;-0.31500
39;-0.30500
42;-0.31500
44;-0.30500
47;-0.30500
50;-0.32000
53;-0.32500
56;-0.33000
58;-0.32000
61;-0.30000
64;-0.32000
67;-0.34000
69;-0.34500
72;-0.33500
75;-0.33000
78;-0.32000
81;-0.32000
83;-0.32500
86;-0.32500
89;-0.33000
92;-0.34000
94;-0.34500
97;-0.38500
100;-0.42500
103;-0.46500
106;-0.51000
108;-0.54000
111;-0.54000
114;-0.48000
117;-0.35000
119;-0.17500
122;0.02000
125;0.22500
128;0.45500
131;0.72000
133;0.95000
136;1.09000
139;1.14000
142;1.04000
144;0.76500
147;0.33000
150;-0.09500
153;-0.37500
156;-0.44500
158;-0.41500
161;-0.36000
164;-0.35000
167;-0.33000
169;-0.31000
172;-0.31500
175;-0.31000
178;-0.31000
181;-0.32000
183;-0.32500
186;-0.34000
189;-0.34000
192;-0.33500
194;-0.32500
197;-0.33500
200;-0.33500
203;-0.35500
206;-0.35000
208;-0.34500
211;-0.33000
214;-0.33500
217;-0.35500
219;-0.35500
222;-0.35000
225;-0.35000
228;-0.36000
231;-0.34500
233;-0.35500
236;-0.36500
239;-0.36500
242;-0.35500
244;-0.34000
247;-0.36000
250;-0.35000
253;-0.36000
256;-0.35500
258;-0.34500
261;-0.33500
264;-0.33500
267;-0.34500
269;-0.34500
272;-0.34500
275;-0.34500
